ID,date,Country,Region,District,Latitude,Longitude,Species,Sequencing_date
MR003,07/05/2021,NTz,Morogoro ,Morogoro urban ,-6.830373,37.670589,Domestic dog,10-Mar-22
MR004,07/05/2021,NTz,Morogoro ,Morogoro urban ,-6.830373,37.670589,Domestic dog,10-Mar-22
Z0829334,04/06/2022,Kenya,Makueni,Kwa Kavisi,-1.9998655,37.7064121,Domestic dog,14-Sep-22
Z00832443,18/11/2021,Kenya,Makueni,Kathonzweni,-1.90833346,37.7243881,Domestic dog,08-Dec-21
Z0829325,15/06/2022,Kenya,Makueni,Kathonzweni,-1.8841657,37.7251635,Domestic dog,14-Sep-22
Z0083216,18/07/2021,Kenya,Makueni,Kathonzweni,-1.9131016,37.7317411,Bovine,08-Dec-21
Z0083227,27/09/2021,Kenya,Makueni,Kathonzweni,-1.9131016,37.7317411,Domestic dog,06-Dec-21
Z0083237,01/10/2021,Kenya,Makueni,Kathonzweni,-1.9131016,37.7317411,Domestic dog,08-Dec-21
Z0083243,18/11/2021,Kenya,Makueni,Kathonzweni,-1.9131016,37.7317411,Domestic dog,31-Jan-22
Z00832441,19/11/2021,Kenya,Makueni,Kathonzweni,-1.9131016,37.7317411,Domestic dog,08-Dec-21
Z00832442,21/11/2021,Kenya,Makueni,Kathonzweni,-1.9131016,37.7317411,Bovine,08-Dec-21
Z0083240,04/12/2021,Kenya,Makueni,Kathonzweni,-1.9131016,37.7317411,Domestic dog,31-Jan-22
Z0083262,25/02/2022,Kenya,Makueni,Kathonzweni,-1.900881571,37.73942683,Domestic dog,14-Sep-22
Z0829344,30/03/2022,Kenya,Makueni,Mbuvo,-1.9667191,37.7664408,Caprine,14-Sep-22
Z0829337,10/05/2022,Kenya,Makueni,Mbuvo,-2.0353289,37.769492,Domestic dog,14-Sep-22
MORDC1011,01/08/2022,NTz,Morogoro ,Morogoro urban ,-7.195774,37.842235,Donkey,23-Nov-22
Z0083249,14/02/2022,Kenya,Makueni,Kanthuni,-1.851837756,37.88033534,Caprine,14-Sep-22
Z0083265,14/03/2021,Kenya,Makueni,Kithuki,-1.968343151,37.88137117,Feline,14-Sep-22
